tanggal,pm10,pm25,so2,co,o3,no2,max,critical,categori,location
2021-01-01,43,65,58,29,35,65,65,O3,SEDANG,DKI2
2021-01-02,58,86,86,38,64,80,86,PM25,SEDANG,DKI3
2021-01-03,64,93,93,25,62,86,93,PM25,SEDANG,DKI3
2021-01-04,50,49,67,24,31,77,77,O3,SEDANG,DKI2
2021-01-05,59,89,89,24,35,77,89,PM25,SEDANG,DKI3
2021-01-06,73,60,81,29,66,85,85,O3,SEDANG,DKI2
2021-01-07,36,50,52,22,55,72,72,O3,SEDANG,DKI2
2021-01-08,38,55,68,26,51,71,71,O3,SEDANG,DKI2
2021-01-09,60,67,77,34,42,80,80,O3,SEDANG,DKI2
2021-01-10,24,39,39,16,38,59,59,O3,SEDANG,DKI2
2021-01-11,51,72,72,17,57,68,72,PM25,SEDANG,DKI3
2021-01-12,29,51,58,20,44,77,77,O3,SEDANG,DKI2
2021-01-13,36,44,47,17,32,68,68,O3,SEDANG,DKI2
2021-01-14,36,78,78,20,38,65,78,PM25,SEDANG,DKI3
2021-01-15,52,82,82,20,56,65,82,PM25,SEDANG,DKI3
2021-01-16,70,92,92,19,38,67,92,PM25,SEDANG,DKI3
2021-01-17,58,75,86,22,41,93,93,O3,SEDANG,DKI2
2021-01-18,51,49,64,21,37,78,78,O3,SEDANG,DKI2
2021-01-19,42,42,56,19,35,58,58,O3,SEDANG,DKI2
2021-01-20,54,45,45,17,33,72,72,O3,SEDANG,DKI2
2021-01-21,63,44,51,21,38,67,67,O3,SEDANG,DKI2
2021-01-22,84,112,112,32,54,67,112,PM25,TIDAK SEHAT,DKI3
2021-01-23,89,126,126,47,61,104,126,PM25,TIDAK SEHAT,DKI3
2021-01-24,64,90,90,19,31,75,90,PM25,SEDANG,DKI3
2021-01-25,62,86,95,29,67,134,134,O3,TIDAK SEHAT,DKI2
2021-01-26,57,79,79,34,39,71,79,PM25,SEDANG,DKI3
2021-01-27,33,29,37,25,20,63,63,O3,SEDANG,DKI2
2021-01-28,28,49,49,25,28,53,53,O3,SEDANG,DKI2
2021-01-29,30,53,53,26,36,65,65,O3,SEDANG,DKI2
2021-01-30,46,39,39,25,32,64,64,O3,SEDANG,DKI2
2021-01-31,41,55,55,24,29,68,68,O3,SEDANG,DKI2
2021-02-01,73,126,38,26,46,34,126,PM25,TIDAK SEHAT,DKI5
2021-02-02,53,70,40,14,55,25,70,PM25,SEDANG,DKI3
2021-02-03,32,53,40,11,42,19,53,PM25,SEDANG,DKI3
2021-02-04,36,59,40,14,47,24,59,PM25,SEDANG,DKI5
2021-02-05,29,51,40,14,45,35,51,PM25,SEDANG,DKI3
2021-02-06,34,53,40,8,57,15,57,O3,SEDANG,DKI2
